scenario,removed_features,model,target,load_condition,n_train,n_test,n_features,MAE,MSE,RMSE,R2,fit_s,delta_R2_vs_baseline_current,delta_MAE_vs_baseline_current
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_RMS,no_load,122657,26166,27,23.4311741162995,2477.439702194446,49.77388574538305,0.4266615220172615,4.754873275756836,-0.19591301037591402,7.69737790059478
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_RMS,load,49475,9666,27,63.141442711299966,8389.111987467482,91.59209566041974,0.7565034612914919,4.47303581237793,-0.05284957668112,8.97585269143309
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_RMS_FREQ,all,172132,35832,27,74.5106491239934,14641.63476608712,121.00262297193032,0.5783283444610778,5.068891525268555,-0.003204907262526424,-1.7602890032771654
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_RMS_FREQ,no_load,122657,26166,27,57.241537055816835,10261.878168492036,101.3009287642124,0.5126951647275723,5.054248571395874,0.005427864831539453,-0.13323419130811232
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_RMS_FREQ,load,49475,9666,27,116.31137129665152,25226.883222784734,158.82973028619276,0.5124029445884354,4.856107711791992,-0.0019669779318383096,0.6524146282477972
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_PEAK,all,172132,35832,27,100.874677479504,26439.705338162592,162.60290691793486,0.7801065701753072,1.593717098236084,-0.06622980335887096,31.11113831165828
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_PEAK,no_load,122657,26166,27,78.09221430074219,16478.647581444973,128.36918470351432,0.3309798376257962,1.4410665035247803,-0.25018664940807533,30.30675211264282
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_PEAK,load,49475,9666,27,154.13738376463576,49980.20829819407,223.56253777901625,0.7492908560650262,1.1502645015716553,-0.05480014937012845,20.656949730267343
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_RMS,all,172132,35832,27,34.406793964325736,4207.298764950634,64.86369373502124,0.7975574403100667,1.619081735610962,-0.05651097938104099,7.644209345204899
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_RMS,no_load,122657,26166,27,23.445066448092035,2632.083020307485,51.30383046427903,0.3908733797030024,1.425694227218628,-0.223583644026911,6.981130652322054
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_RMS,load,49475,9666,27,64.04356504085796,8532.143664763496,92.36960357587066,0.7523519231550025,1.1730499267578125,-0.05272546382559706,9.395747651833851
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_RMS_FREQ,all,172132,35832,27,76.83091017894313,14393.752232261473,119.9739648101265,0.5854672357179165,1.649909257888794,0.0017164913120308878,1.9928998413817993
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_RMS_FREQ,no_load,122657,26166,27,66.57000343492714,10982.393911488516,104.7969174713098,0.47848010197910407,1.4150240421295166,-0.022405206057642957,3.168696650032686
no_speed_rms,SPEED_RMS,XGBoost,ACCEL_RMS_FREQ,load,49475,9666,27,118.17985241515733,26060.585210641202,161.43291241454205,0.49628876073228523,1.150916337966919,-0.002511923806769456,0.3029064930362324
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_PEAK,all,172132,35832,26,86.73004558543646,26807.49028936457,163.72993095144386,0.777047780626659,5.422004699707031,-0.07429373248696869,20.117159970741653
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_PEAK,no_load,122657,26166,26,57.958007718114374,14062.946780520924,118.58729603343237,0.4290553947426009,5.1961939334869385,-0.16707403122806985,14.817981300518149
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_PEAK,load,49475,9666,26,167.8471449567545,60198.629293746235,245.35408962099294,0.698033535069535,5.154545545578003,-0.11254123667185878,36.41509006411016
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS,all,172132,35832,26,34.498440671578074,4358.972935481001,66.02251839699089,0.7902593355078099,5.335023880004883,-0.06439177785211092,7.998307063890902
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS,no_load,122657,26166,26,23.29755469212893,2502.7381171705642,50.027373678522885,0.4208068670180155,5.1411848068237305,-0.20176766537516,7.563758476424212
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS,load,49475,9666,26,66.12307671569195,9384.41170936842,96.87317332145376,0.7276145827519673,5.176217794418335,-0.0817384552206446,11.957486695825075
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS_FREQ,all,172132,35832,26,74.69770861198009,14612.532903833977,120.882310136074,0.579166463334523,5.372154712677002,-0.0023667883890812202,-1.5732295152904783
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS_FREQ,no_load,122657,26166,26,53.87627560078697,10278.15394772336,101.38123074673813,0.5119222783429334,5.156182527542114,0.004654978446900548,-3.498495646337979
strict_no_ifm,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS_FREQ,load,49475,9666,26,114.08397117856708,25171.14659638858,158.65417295611414,0.5134802482992955,4.774998903274536,-0.0008896742209781872,-1.574985489836635
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_PEAK,all,172132,35832,26,100.4917817927253,27831.462680017677,166.82764363263564,0.7685316191132588,1.6016209125518799,-0.07780475442091928,30.728242624879584
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_PEAK,no_load,122657,26166,26,76.07602844520257,16121.524372568465,126.97056498483602,0.34547875970112396,1.3930957317352295,-0.23568772733274757,28.2905662571032
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_PEAK,load,49475,9666,26,163.2643589984076,56925.198400315785,238.59002158580685,0.7144536158368235,1.1305475234985352,-0.08963738959833112,29.783924964039187
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS,all,172132,35832,26,34.89566108425569,4446.998799380743,66.68582157685952,0.7860237957464709,1.5963447093963623,-0.06804462394463684,8.133076465134856
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS,no_load,122657,26166,26,23.713343599003014,2589.8262184010405,50.89033521604117,0.40065260882732756,1.385023593902588,-0.21380441490258584,7.249407803233034
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS,load,49475,9666,26,63.66341159976716,8982.867530228063,94.77799074800048,0.7392695252423396,1.1410918235778809,-0.06580786173826003,9.015594210743053
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS_FREQ,all,172132,35832,26,74.25561601350253,14345.337737384114,119.77202401806574,0.5868615486162481,1.6038155555725098,0.0031108042103624722,-0.5823943240587965
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS_FREQ,no_load,122657,26166,26,62.70700228600424,10884.695748986966,104.32974527423599,0.48311948535537663,1.4210457801818848,-0.01776582268137039,-0.6943044988902187
strict_no_ifm,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS_FREQ,load,49475,9666,26,115.91030329243104,25887.315948486175,160.89535713775638,0.4996377904667163,1.1262445449829102,0.0008371059276616188,-1.9666426296900568
