scenario,role,removed_features,model,target,load_condition,n_train,n_test,n_features,MAE,MSE,RMSE,R2,fit_s,delta_R2_vs_cnc_available_all,delta_MAE_vs_cnc_available_all
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS,no_load,122657,26166,26,23.29755469212893,2502.738117170564,50.027373678522885,0.4208068670180155,5.1411848068237305,-0.20176766537516,7.563758476424212
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS,load,49475,9666,26,66.12307671569195,9384.41170936842,96.87317332145376,0.7276145827519673,5.176217794418335,-0.0817384552206446,11.957486695825075
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS_FREQ,all,172132,35832,26,74.69770861198009,14612.532903833977,120.882310136074,0.579166463334523,5.372154712677002,-0.0023667883890812,-1.5732295152904785
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS_FREQ,no_load,122657,26166,26,53.87627560078697,10278.15394772336,101.38123074673813,0.5119222783429334,5.156182527542114,0.0046549784469005,-3.498495646337979
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS_FREQ,load,49475,9666,26,114.08397117856708,25171.14659638858,158.65417295611414,0.5134802482992955,4.774998903274536,-0.0008896742209781,-1.574985489836635
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_PEAK,all,172132,35832,26,100.4917817927253,27831.46268001768,166.82764363263564,0.7685316191132588,1.60162091255188,-0.0778047544209192,30.728242624879584
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_PEAK,no_load,122657,26166,26,76.07602844520257,16121.524372568463,126.97056498483602,0.3454787597011239,1.3930957317352295,-0.2356877273327475,28.2905662571032
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_PEAK,load,49475,9666,26,163.2643589984076,56925.198400315785,238.59002158580685,0.7144536158368235,1.1305475234985352,-0.0896373895983311,29.783924964039187
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS,all,172132,35832,26,34.89566108425569,4446.998799380743,66.68582157685952,0.7860237957464709,1.5963447093963623,-0.0680446239446368,8.133076465134856
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS,no_load,122657,26166,26,23.71334359900301,2589.8262184010405,50.89033521604117,0.4006526088273275,1.385023593902588,-0.2138044149025858,7.249407803233034
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS,load,49475,9666,26,63.66341159976716,8982.867530228063,94.77799074800048,0.7392695252423396,1.1410918235778809,-0.06580786173826,9.015594210743052
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS_FREQ,all,172132,35832,26,74.25561601350253,14345.337737384114,119.77202401806574,0.5868615486162481,1.6038155555725098,0.0031108042103624,-0.5823943240587965
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS_FREQ,no_load,122657,26166,26,62.70700228600424,10884.695748986966,104.329745274236,0.4831194853553766,1.4210457801818848,-0.0177658226813703,-0.6943044988902187
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,XGBoost,ACCEL_RMS_FREQ,load,49475,9666,26,115.91030329243104,25887.31594848617,160.89535713775638,0.4996377904667163,1.1262445449829102,0.0008371059276616,-1.9666426296900568
