evaluation_type,feature_scenario,removed_features,model,output_strategy,target,load_condition,n_features,n_train,n_test,MAE,MSE,RMSE,R2,fit_s,predict_s,notes
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,no_load,28,122657,26561,63.108263223951944,13991.079075726622,118.28389186920856,0.5088715009718474,4.734156131744385,0.024692535400390625,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,load,28,49475,9666,115.65895666840372,25125.11738552717,158.5090451221228,0.5143699225202737,4.534535884857178,0.011491060256958008,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,single,ACCEL_RMS_FREQ,load,28,49475,10696,130.50672662440883,32309.50729979629,179.74845562562226,0.48802793064794725,4.534535884857178,0.01160740852355957,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,all,28,172132,35832,74.76047735888179,20026.892110214667,141.51640226565493,0.8334405796690992,2.5224733352661133,0.003053903579711914,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,all,28,172132,37257,94.93821645690647,41219.89078095159,203.0268228115477,0.7770142699011476,2.5224733352661133,0.0031855106353759766,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,no_load,28,122657,26166,46.849055661314075,10465.07015482487,102.29892548225945,0.57512636278951,2.033567190170288,0.0029287338256835938,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,no_load,28,122657,26561,51.07286487712768,16007.1571005382,126.51939416760656,0.516533462012434,2.033567190170288,0.002820253372192383,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,load,28,49475,9666,142.91650692572063,41796.66602007086,204.44232932558478,0.7903408826408073,1.3328800201416016,0.0019986629486083984,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_PEAK,load,28,49475,10696,194.10962695318239,96311.52977951571,310.34098952525704,0.6935057958171851,1.3328800201416016,0.001575469970703125,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS,all,28,172132,35832,29.84523145351403,3350.8126148437545,57.886204011351055,0.8387689772731773,2.59012508392334,0.004236936569213867,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS,all,28,172132,37257,36.1196257218305,5777.110312713867,76.00730433789812,0.8022047629542324,2.59012508392334,0.0036995410919189453,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS,no_load,28,122657,26166,19.56528461123932,1826.7457914493257,42.74044678579443,0.577247571029389,2.0008840560913086,0.0026106834411621094,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS,no_load,28,122657,26561,21.661358252273132,3105.8670352808326,55.73030625504253,0.4964131454031764,2.0008840560913086,0.003019094467163086,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS,load,28,49475,9666,56.01832808624847,6768.921610040792,82.2734562908402,0.8035299820414344,1.3265185356140137,0.001428365707397461,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS,load,28,49475,10696,68.85091612375231,10983.814395187062,104.8036945684028,0.7646227720852324,1.3265185356140137,0.0015130043029785156,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS_FREQ,all,28,172132,35832,81.30689640734361,15782.494123983759,125.62839696495278,0.5454721735575667,2.4224791526794434,0.003301382064819336,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS_FREQ,all,28,172132,37257,91.56303498296458,21773.565819889016,147.55868601979694,0.5188772559421303,2.4224791526794434,0.003348112106323242,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS_FREQ,no_load,28,122657,26166,64.49675882636974,11187.753091557555,105.77217541280672,0.4687282300729957,2.0163848400115967,0.002933025360107422,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS_FREQ,no_load,28,122657,26561,70.62097476164584,15346.875123565987,123.882505316796,0.46127902619848427,2.0163848400115967,0.0027985572814941406,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS_FREQ,load,28,49475,9666,122.22119471085112,26602.96777968748,163.10416236162547,0.4858053355212524,1.349764108657837,0.0016710758209228516,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,single,ACCEL_RMS_FREQ,load,28,49475,10696,137.69034648291776,34555.432786273785,185.8909163629944,0.45243930008626576,1.349764108657837,0.0013427734375,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_PEAK,all,28,172132,35832,105.92792651527618,35179.81404477582,187.56282692680824,0.7074169370664307,55.14413595199585,0.03705310821533203,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_PEAK,all,28,172132,37257,124.65942012093866,55668.57662856725,235.9418924832283,0.6988517444393285,55.14413595199585,0.03829765319824219,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_PEAK,no_load,28,122657,26166,223.99399151844085,175790.5994172144,419.2738954635912,-6.136960407988207,52.47836661338806,0.028118610382080078,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_PEAK,no_load,28,122657,26561,226.30632263811103,180511.7282948307,424.86671827154305,-4.452022479489483,52.47836661338806,0.026873111724853516,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_PEAK,load,28,49475,9666,170.50550897144078,60585.536790900835,246.14129436342216,0.6960927418896643,26.44961380958557,0.03471112251281738,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_PEAK,load,28,49475,10696,225.83415537822785,124024.58882167679,352.1712492831815,0.6053139459312633,26.44961380958557,0.037354230880737305,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS,all,28,172132,35832,42.55160074253198,4752.511040793975,68.93845835811804,0.7713234657666888,58.36976861953735,0.027414798736572266,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS,all,28,172132,37257,48.53220421206362,7338.748425962714,85.66649535239966,0.7487377934712386,58.36976861953735,0.028087377548217773,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS,no_load,28,122657,26166,30.1789020615367,2963.1492340872483,54.43481637782246,0.3142567827574274,27.850394248962402,0.022902250289916992,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS,no_load,28,122657,26561,32.473694394705376,4602.0978267969485,67.838763452741,0.2538135268453309,27.850394248962402,0.025165557861328125,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS,load,28,49475,9666,64.42220604453675,9231.027647378603,96.07823711631372,0.7320666020173396,22.048444032669067,0.021388530731201172,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS,load,28,49475,10696,77.4260151578985,13651.494983060722,116.83961221717882,0.7074558135821025,22.048444032669067,0.02161264419555664,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS_FREQ,all,28,172132,35832,105.01771377212715,22642.959158064394,150.47577598425733,0.34789425996364864,113.51177167892456,0.03689861297607422,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS_FREQ,all,28,172132,37257,114.68868182993266,29046.227325696284,170.4295377148465,0.3581758398662279,113.51177167892456,0.0700218677520752,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS_FREQ,no_load,28,122657,26166,78.5234307359792,15088.23806283172,122.83418930750396,0.28350627019382824,85.59267163276672,0.0370020866394043,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS_FREQ,no_load,28,122657,26561,84.99254413369376,19916.040939277467,141.1242039455935,0.3008877127954772,85.59267163276672,0.04969072341918945,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS_FREQ,load,28,49475,9666,135.32399086767617,34411.95588984675,185.50459802885413,0.3348695431512084,31.063469886779785,0.018788814544677734,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,single,ACCEL_RMS_FREQ,load,28,49475,10696,148.81687544950242,41334.658006959784,203.3092668988794,0.3450166169536103,31.063469886779785,0.021852493286132812,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_PEAK,all,28,172132,35832,70.13488885978305,18491.345333273435,135.98288617790635,0.8462113970106411,17.98921012878418,0.0678396224975586,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS,all,28,172132,35832,27.733485891901683,3090.154773301106,55.589160573812464,0.8513110484673456,17.98921012878418,0.0678396224975586,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS_FREQ,all,28,172132,35832,81.80034226240666,16320.238549458152,127.75068903711694,0.5299854068290444,17.98921012878418,0.0678396224975586,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_PEAK,all,28,172132,37257,90.19307656908892,39579.81741351231,198.94677030178778,0.7858865145947976,17.98921012878418,0.08074307441711426,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS,all,28,172132,37257,33.827489057474075,5384.8259243828015,73.38137314320849,0.8156356963065934,17.98921012878418,0.08074307441711426,offline temporal split
raw_target_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS_FREQ,all,28,172132,37257,91.639035606194,21828.12144683024,147.74343114612657,0.5176717596465359,17.98921012878418,0.08074307441711426,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_PEAK,no_load,28,122657,26166,46.466107415408906,10268.82772891892,101.33522452197418,0.5830936513060836,11.976734161376953,0.06867599487304688,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS,no_load,28,122657,26166,19.0327930596243,1797.3647388263087,42.39533864502451,0.5840470454938896,11.976734161376953,0.06867599487304688,offline temporal split
filtered_test,cnc_available_all,(none),RandomForest,multi,ACCEL_RMS_FREQ,no_load,28,122657,26166,62.24088479967504,11211.020447630508,105.88210636188963,0.46762333534201284,11.976734161376953,0.06867599487304688,offline temporal split
