model,output_strategy,target,load_condition,R2_filtered,R2_raw_target,delta_R2,MAE_filtered,MAE_raw_target,delta_MAE
CatBoost,single,ACCEL_RMS_FREQ,no_load,0.4687282300729957,0.46127902619848427,-0.007449203874511423,64.49675882636974,70.62097476164584,6.124215935276098
RandomForest,multi,ACCEL_RMS_FREQ,no_load,0.46762333534201284,0.4615894185523879,-0.006033916789624949,62.24088479967504,68.36536530793579,6.124480508260753
RandomForest,multi,ACCEL_RMS_FREQ,load,0.4654530128655111,0.43117693028152515,-0.034276082583985956,123.145978373818,139.03907688654095,15.893098512722958
MLPRegressor,multi,ACCEL_RMS_FREQ,load,0.3591725872373519,0.35913967875066344,-3.2908486688465466e-05,136.80789264591138,150.94470840895116,14.136815763039777
MLPRegressor,single,ACCEL_RMS_FREQ,all,0.34789425996364864,0.3581758398662279,0.010281579902579274,105.01771377212715,114.68868182993266,9.67096805780551
MLPRegressor,single,ACCEL_RMS_FREQ,load,0.3348695431512084,0.3450166169536103,0.010147073802401874,135.32399086767617,148.81687544950242,13.492884581826246
MLPRegressor,single,ACCEL_RMS,no_load,0.3142567827574274,0.2538135268453309,-0.06044325591209654,30.1789020615367,32.473694394705376,2.294792333168676
MLPRegressor,multi,ACCEL_RMS_FREQ,all,0.31037127911278517,0.30350726761634506,-0.0068640114964401144,108.34997844501105,119.10455810965364,10.754579664642591
MLPRegressor,multi,ACCEL_PEAK,no_load,0.3035357451539503,0.2756439320319116,-0.0278918131220387,72.67449908153742,77.1764799563523,4.501980874814876
MLPRegressor,single,ACCEL_RMS_FREQ,no_load,0.28350627019382824,0.3008877127954772,0.017381442601648978,78.5234307359792,84.99254413369376,6.469113397714551
MLPRegressor,multi,ACCEL_RMS,no_load,0.2789906673185676,0.23806579492247926,-0.04092487239608833,28.716445969989703,31.01097573476274,2.2945297647730385
MLPRegressor,multi,ACCEL_RMS_FREQ,no_load,-0.08588495647604466,-0.01904482443103306,0.0668401320450116,108.13559891624811,115.11403475478485,6.97843583853674
MLPRegressor,single,ACCEL_PEAK,no_load,-6.136960407988207,-4.452022479489483,1.6849379284987238,223.99399151844085,226.30632263811103,2.3123311196701763
